iter	Passed	Remaining
0	14	14819
1	16	8319
2	18	5985
3	19	4824
4	20	4121
5	22	3658
6	23	3382
7	25	3203
8	27	2997
9	28	2829
10	29	2685
11	31	2562
12	32	2505
13	34	2424
14	35	2343
15	37	2280
16	38	2230
17	39	2162
18	41	2118
19	42	2065
20	43	2021
21	44	1982
22	46	1955
23	46	1909
24	48	1884
25	49	1862
26	51	1843
27	52	1817
28	53	1786
29	54	1765
30	55	1747
31	57	1734
32	58	1719
33	59	1702
34	61	1688
35	62	1679
36	63	1663
37	65	1652
38	66	1639
39	67	1630
40	69	1620
41	70	1604
42	71	1595
43	73	1587
44	74	1579
45	76	1586
46	77	1576
47	78	1566
48	80	1556
49	81	1549
50	82	1542
51	84	1535
52	85	1528
53	86	1521
54	88	1514
55	89	1508
56	91	1506
57	92	1500
58	93	1496
59	95	1488
60	96	1484
61	97	1478
62	98	1471
63	100	1466
64	101	1464
65	103	1460
66	104	1454
67	105	1451
68	107	1445
69	108	1440
70	109	1437
71	110	1427
72	112	1422
73	113	1418
74	114	1414
75	116	1410
76	117	1406
77	118	1402
78	119	1398
79	121	1394
80	122	1389
81	123	1384
82	124	1379
83	126	1376
84	127	1374
85	128	1370
86	129	1363
87	131	1362
88	134	1378
89	136	1380
90	137	1377
91	139	1377
92	140	1374
93	142	1371
94	143	1371
95	145	1366
96	146	1363
97	149	1377
98	150	1372
99	152	1369
100	154	1372
101	155	1370
102	157	1367
103	158	1365
104	159	1363
105	161	1361
106	162	1359
107	164	1356
108	165	1351
109	166	1349
110	168	1346
111	169	1341
112	170	1337
113	171	1334
114	172	1331
115	173	1324
116	175	1322
117	176	1317
118	177	1316
119	179	1313
120	180	1310
121	182	1311
122	183	1309
123	185	1309
124	187	1310
125	189	1312
126	190	1310
127	192	1308
128	194	1311
129	195	1307
130	196	1305
131	197	1301
132	199	1299
133	200	1295
134	201	1292
135	202	1287
136	204	1291
137	206	1287
138	207	1284
139	208	1282
140	209	1279
141	211	1276
142	212	1274
143	213	1271
144	215	1268
145	216	1267
146	218	1265
147	219	1263
148	220	1260
149	222	1258
150	222	1253
151	224	1251
152	225	1249
153	227	1247
154	228	1245
155	229	1244
156	231	1241
157	232	1239
158	233	1236
159	235	1234
160	236	1231
161	237	1229
162	239	1227
163	240	1225
164	241	1223
165	243	1221
166	244	1219
167	245	1217
168	247	1215
169	248	1213
170	249	1210
171	251	1208
172	252	1206
173	253	1204
174	254	1201
175	256	1199
176	257	1197
177	258	1194
178	259	1191
179	261	1189
180	262	1186
181	263	1183
182	264	1181
183	266	1179
184	267	1177
185	268	1175
186	269	1173
187	271	1172
188	272	1169
189	274	1169
190	275	1167
191	277	1165
192	278	1164
193	279	1161
194	281	1160
195	282	1157
196	283	1155
197	287	1163
198	288	1163
199	290	1161
200	291	1159
201	293	1157
202	294	1155
203	295	1154
204	297	1151
205	298	1150
206	299	1148
207	301	1146
208	302	1144
209	303	1142
210	304	1139
211	305	1137
212	307	1134
213	308	1132
214	309	1129
215	310	1128
216	312	1126
217	313	1124
218	315	1124
219	316	1122
220	318	1121
221	319	1119
222	320	1118
223	322	1116
224	326	1123
225	327	1122
226	329	1122
227	331	1121
228	332	1121
229	334	1119
230	335	1117
231	337	1115
232	338	1114
233	339	1112
234	341	1110
235	342	1109
236	344	1108
237	345	1105
238	346	1103
239	347	1101
240	349	1099
241	350	1098
242	352	1096
243	353	1095
244	354	1093
245	356	1092
246	357	1089
247	358	1087
248	359	1085
249	361	1083
250	362	1081
251	363	1079
252	365	1078
253	366	1076
254	367	1074
255	369	1073
256	371	1073
257	372	1071
258	374	1070
259	375	1069
260	377	1067
261	378	1065
262	379	1063
263	380	1061
264	382	1059
265	383	1059
266	385	1057
267	386	1055
268	388	1055
269	390	1056
270	392	1054
271	393	1053
272	395	1052
273	396	1050
274	398	1049
275	399	1047
276	400	1045
277	401	1043
278	403	1042
279	404	1039
280	405	1038
281	406	1036
282	407	1033
283	410	1033
284	411	1031
285	411	1028
286	413	1026
287	414	1024
288	416	1023
289	417	1021
290	418	1019
291	419	1017
292	420	1015
293	422	1013
294	423	1012
295	424	1010
296	426	1008
297	427	1006
298	428	1004
299	429	1002
300	430	1000
301	432	998
302	433	997
303	435	997
304	437	996
305	438	995
306	440	993
307	441	992
308	443	990
309	444	988
310	445	987
311	446	985
312	448	983
313	449	981
314	450	980
315	452	978
316	453	976
317	454	974
318	455	973
319	457	971
320	458	969
321	459	968
322	461	966
323	462	964
324	463	963
325	464	961
326	466	959
327	467	958
328	469	956
329	470	954
330	471	953
331	472	951
332	474	949
333	475	947
334	476	945
335	477	944
336	480	944
337	481	942
338	482	940
339	483	939
340	485	937
341	486	935
342	487	934
343	489	932
344	490	930
345	491	928
346	492	927
347	493	925
348	495	923
349	496	922
350	497	920
351	498	918
352	500	916
353	501	915
354	502	913
355	504	912
356	506	911
357	507	909
358	508	907
359	509	906
360	511	904
361	512	903
362	513	901
363	514	899
364	516	897
365	517	896
366	518	894
367	520	893
368	521	891
369	522	890
370	524	888
371	525	886
372	526	884
373	527	883
374	528	881
375	530	879
376	531	878
377	532	876
378	533	874
379	535	872
380	536	871
381	537	869
382	538	867
383	540	867
384	541	865
385	542	863
386	544	862
387	545	860
388	546	858
389	548	857
390	549	855
391	550	853
392	552	852
393	553	851
394	554	849
395	556	848
396	557	846
397	558	844
398	559	843
399	561	841
400	562	839
401	563	838
402	564	836
403	566	835
404	567	833
405	568	832
406	570	830
407	571	829
408	573	828
409	574	826
410	575	824
411	577	823
412	578	822
413	579	820
414	581	819
415	582	817
416	583	815
417	584	814
418	586	812
419	587	811
420	588	809
421	589	807
422	593	808
423	594	807
424	596	806
425	597	804
426	598	803
427	599	801
428	601	800
429	602	798
430	604	797
431	605	795
432	606	794
433	608	793
434	609	791
435	610	790
436	612	788
437	613	787
438	615	785
439	616	784
440	618	783
441	619	781
442	620	780
443	621	778
444	623	777
445	624	775
446	625	774
447	627	772
448	628	771
449	630	770
450	631	769
451	633	767
452	634	766
453	635	764
454	636	762
455	638	761
456	639	759
457	640	758
458	641	756
459	643	755
460	644	753
461	646	752
462	647	751
463	649	749
464	650	748
465	651	746
466	653	745
467	654	744
468	655	742
469	657	740
470	658	739
471	659	737
472	660	736
473	662	734
474	663	733
475	664	731
476	665	730
477	667	728
478	668	727
479	669	725
480	671	724
481	672	722
482	673	721
483	675	719
484	676	718
485	677	716
486	679	715
487	680	713
488	681	712
489	682	710
490	684	709
491	685	707
492	686	706
493	688	704
494	689	703
495	690	701
496	692	700
497	693	698
498	694	697
499	695	695
500	697	694
501	698	692
502	699	691
503	700	689
504	702	688
505	703	686
506	705	685
507	706	684
508	707	682
509	709	681
510	710	680
511	712	678
512	713	677
513	715	676
514	716	674
515	718	673
516	719	672
517	721	671
518	722	669
519	723	668
520	725	666
521	726	665
522	728	664
523	729	662
524	731	661
525	732	660
